0|iata_code|1|name_eng|2|city_rus|3|country_rus
CBC|CBC|Cherrabun|Cherrabun|||Австралия|Австралия
CBD|CBD|Car Nicobar|Car Nicobar|Кар-Никобар|Кар-Никобар|Индия|Индия
CBE|CBE|Wiley Ford|Wiley Ford|||США|США
CBF|CBF|Municipal|Municipal|||США|США
CBG|CBG|Cambridge|Cambridge|Кембрдидж|Кембрдидж|Великобритания|Великобритания
CBH|CBH|Leger|Leger|||Алжир|Алжир
CBI|CBI|Cape Barren Island|Cape Barren Island|||Австралия|Австралия
CBJ|CBJ|Cabo Rojo|Cabo Rojo|Кабо-Рожо|Кабо-Рожо|Доминиканская Республика|Доминиканская Республика
CBK|CBK|Municipal|Municipal|||США|США
CBL|CBL|Ciudad Bolivar|Ciudad Bolivar|Сьюдад-Боливар|Сьюдад-Боливар|Венесуэла|Венесуэла
CBM|CBM|Columbus AFB|Columbus AFB|||США|США
CBN|CBN|Penggung|Penggung|Чиребон|Чиребон|Индонезия|Индонезия
CBO|CBO|Awang|Awang|Котабато|Котабато|Филиппины|Филиппины
CBP|CBP|Coimbra|Coimbra|Коимбра|Коимбра|Португалия|Португалия
CBQ|CBQ|Calabar|Calabar|Калабар|Калабар|Нигерия|Нигерия
CBR|CBR|Canberra|Canberra|Канберра|Канберра|Австралия|Австралия
CBS|CBS|Oro Negro|Oro Negro|Кабимас|Кабимас|Венесуэла|Венесуэла
CBT|CBT|Catumbela|Catumbela|||Ангола|Ангола
CBU|CBU|Cottbus|Cottbus|Коттбус|Коттбус|Германия|Германия
CBV|CBV|Coban|Coban|Кобан|Кобан|Гватемала|Гватемала
CBW|CBW|Campo Mourao|Campo Mourao|||Бразилия|Бразилия
CBX|CBX|Condobolin|Condobolin|||Австралия|Австралия
CBY|CBY|Canobie|Canobie|||Австралия|Австралия
CBZ|CBZ|Cabin Creek|Cabin Creek|||США|США
CCA|CCA|Chaffee AFB|Chaffee AFB|||Гаити|Гаити
CCB|CCB|Cable Airport|Cable Airport|||США|США
CCC|CCC|Cayo Coco|Cayo Coco|Кайо Коко|Кайо Коко|Куба|Куба
CCD|CCD|Century City|Century City|Лос Анджелес|Лос Анджелес|США|США
CCE|CCE|Grand Case|Grand Case|||Гваделупа|Гваделупа
CCF|CCF|Salvaza|Salvaza|Каркассон|Каркассон|Франция|Франция
CCG|CCG|Crane County Arpt|Crane County Arpt|||США|США
CCH|CCH|Chile Chico|Chile Chico|Чиле-Чико|Чиле-Чико|Чили|Чили
CCI|CCI|Concordia|Concordia|||Бразилия|Бразилия
CCJ|CCJ|Kozhikode Airport|Kozhikode Airport|||Индия|Индия
CCK|CCK|Cocos Islands|Cocos Islands|||Кокосовые острова|Кокосовые острова
CCL|CCL|Chinchilla|Chinchilla|Шиншилла|Шиншилла|Австралия|Австралия
CCM|CCM|Criciuma|Criciuma|||Бразилия|Бразилия
CCN|CCN|Chakcharan|Chakcharan|Чагчаран|Чагчаран|Афганистан|Афганистан
CCO|CCO|Carimagua|Carimagua|Каримагуа|Каримагуа|Колумбия|Колумбия
CCP|CCP|Carriel Sur|Carriel Sur|Консепсьон|Консепсьон|Чили|Чили
CCQ|CCQ|Cachoeira|Cachoeira|||Бразилия|Бразилия
CCR|CCR|Buchanan Fld|Buchanan Fld|||США|США
CCS|CCS|Simon Bolivar International Airport|Simon Bolivar International Airport|Каракас|Каракас|Венесуэла|Венесуэла
CCT|CCT|Colonia Catriel|Colonia Catriel|Колония-Катриэль|Колония-Катриэль|Аргентина|Аргентина
CCU|CCU|Netaji Subhas Chandra|Netaji Subhas Chandra|||Индия|Индия
CCV|CCV|Craig Cove|Craig Cove|Крейг-Кав|Крейг-Кав|Вануату|Вануату
CCW|CCW|Cowell|Cowell|||Австралия|Австралия
CCX|CCX|Caceres|Caceres|Касерес|Касерес|Бразилия|Бразилия
CCY|CCY|Municipal|Municipal|||США|США
CCZ|CCZ|Chub Cay|Chub Cay|||Багамские острова|Багамские острова
CDA|CDA|Cooinda|Cooinda|Куинда|Куинда|Австралия|Австралия
CDB|CDB|Cold Bay|Cold Bay|||США|США
CDC|CDC|Cedar City|Cedar City|Сидар Сити|Сидар Сити|США|США
CDD|CDD|Cauquira|Cauquira|||Гондурас|Гондурас
CDE|CDE|Caledonia|Caledonia|Каледония|Каледония|Панама|Панама
CDG|CDG|Charles De Gaulle|Charles De Gaulle|Париж|Париж|Франция|Франция
CDH|CDH|Harrell Fld|Harrell Fld|||США|США
CDI|CDI|Cachoeiro Itapemirim|Cachoeiro Itapemirim|||Бразилия|Бразилия
CDJ|CDJ|Conceicao Do Araguaia|Conceicao Do Araguaia|||Бразилия|Бразилия
CDK|CDK|Lewis|Lewis|||США|США
CDL|CDL|Candle|Candle|||США|США
CDN|CDN|Woodward Fld|Woodward Fld|||США|США
CDO|CDO|Cradock|Cradock|Крадок|Крадок|ЮАР|ЮАР
CDP|CDP|Cuddapah|Cuddapah|Куддапах|Куддапах|Индия|Индия
CDQ|CDQ|Croydon|Croydon|||Австралия|Австралия
CDR|CDR|Chadron|Chadron|||США|США
CDS|CDS|Childress|Childress|Чайлдресс|Чайлдресс|США|США
CDU|CDU|Camden|Camden|||Австралия|Австралия
CDV|CDV|Mudhole Smith|Mudhole Smith|||США|США
CDW|CDW|Caldwell Wright|Caldwell Wright|||США|США
CDY|CDY|Cagayan De Sulu|Cagayan De Sulu|||Филиппины|Филиппины
CDZ|CDZ|Cadiz|Cadiz|Кадиз|Кадиз|Испания|Испания
CEA|CEA|Cessna Aircraft Field|Cessna Aircraft Field|Вичита|Вичита|США|США
CEB|CEB|Mactan-Cebu International|Mactan-Cebu International|Кебу|Кебу|Филиппины|Филиппины
CEC|CEC|Mc Namara Fld|Mc Namara Fld|||США|США
CED|CED|Ceduna|Ceduna|||Австралия|Австралия
CEE|CEE|Cherepovets|Cherepovets|Череповец|Череповец|Россия|Россия
CEF|CEF|Westover Metro Arpt|Westover Metro Arpt|||США|США
CEG|CEG|Chester|Chester|Честер|Честер|Великобритания|Великобритания
CEH|CEH|Chelinda|Chelinda|||Малави|Малави
CEI|CEI|Chiang Rai|Chiang Rai|Чанг-Рай|Чанг-Рай|Таиланд|Таиланд
CEJ|CEJ|Chernigov|Chernigov|Чернигов|Чернигов|Украина|Украина
CEK|CEK|Chelyabinsk|Chelyabinsk|Челябинск|Челябинск|Россия|Россия
CEL|CEL|Cape Eleuthera|Cape Eleuthera|Кейп-Элутера|Кейп-Элутера|Багамские острова|Багамские острова
CEM|CEM|Central|Central|||США|США
CEN|CEN|Ciudad Obregon|Ciudad Obregon|Сиудад-Обрегон|Сиудад-Обрегон|Мексика|Мексика
CEO|CEO|Waco Kungo|Waco Kungo|Вако-Кунго|Вако-Кунго|Ангола|Ангола
CEP|CEP|Concepcion|Concepcion|Консепсьон|Консепсьон|Боливия|Боливия
CEQ|CEQ|Mandelieu|Mandelieu|Канны|Канны|Франция|Франция
CER|CER|Maupertus|Maupertus|Шербург|Шербург|Франция|Франция
CES|CES|Cessnock|Cessnock|||Австралия|Австралия
CET|CET|Le Pontreau|Le Pontreau|Шоле|Шоле|Франция|Франция
CEU|CEU|Oconee County|Oconee County|||США|США
CEV|CEV|Mettle Field|Mettle Field|||США|США
CEW|CEW|Bob Sikes|Bob Sikes|||США|США
CEX|CEX|Chena Hot Springs|Chena Hot Springs|||США|США
CEY|CEY|Calloway County|Calloway County|||США|США
CEZ|CEZ|Montezuma County|Montezuma County|Кортез|Кортез|США|США
CFA|CFA|Coffee Point|Coffee Point|||США|США
CFB|CFB|Cabo Frio|Cabo Frio|||Бразилия|Бразилия
CFC|CFC|Cacador|Cacador|||Бразилия|Бразилия
CFD|CFD|Coulter Field|Coulter Field|||Ямайка|Ямайка
CFE|CFE|Aulnat|Aulnat|Клермон-Ферран|Клермон-Ферран|Франция|Франция
CFF|CFF|Cafunfo|Cafunfo|||Ангола|Ангола
CFG|CFG|Cienfuegos|Cienfuegos|Сиенфуэгос|Сиенфуэгос|Куба|Куба
CFH|CFH|Clifton Hills|Clifton Hills|||Австралия|Австралия
CFI|CFI|Camfield|Camfield|||Австралия|Австралия
CFK|CFK|Chefornak|Chefornak|||США|США
CFN|CFN|Donegal|Donegal|||Ирландия|Ирландия
CFO|CFO|Confreza|Confreza|Конфреца|Конфреца|Бразилия|Бразилия
CFP|CFP|Carpentaria Downs|Carpentaria Downs|||Австралия|Австралия
CFQ|CFQ|Creston Valley Airport|Creston Valley Airport|||Канада|Канада
CFR|CFR|Carpiquet|Carpiquet|Кан|Кан|Франция|Франция
CFS|CFS|Coffs Harbour|Coffs Harbour|Коффс Харбор|Коффс Харбор|Австралия|Австралия
CFT|CFT|Morenci|Morenci|||США|США
CFU|CFU|Ioannis Kapodistrias|Ioannis Kapodistrias|||Греция|Греция
CFV|CFV|Municipal|Municipal|||США|США
CGA|CGA|Craig SPB|Craig SPB|||США|США
CGB|CGB|Intl. Airpt. Marechal Rondon|Intl. Airpt. Marechal Rondon|Куиаба|Куиаба|Бразилия|Бразилия
CGC|CGC|Cape Gloucester|Cape Gloucester|Кейп-Глусестер|Кейп-Глусестер|Папуа - Новая Гвинея|Папуа - Новая Гвинея
CGD|CGD|Changde|Changde|Чандэ|Чандэ|Китай|Китай
CGE|CGE|Cambridge|Cambridge|Кембрдидж|Кембрдидж|США|США
CGF|CGF|Cuyahoga County|Cuyahoga County|||США|США
CGG|CGG|Casiguran|Casiguran|Касигуран|Касигуран|Филиппины|Филиппины
CGH|CGH|Congonhas|Congonhas|Сао Паоло|Сао Паоло|Бразилия|Бразилия
CGI|CGI|Cape Girardeau|Cape Girardeau|||США|США
CGJ|CGJ|Chingola|Chingola|Чингола|Чингола|Замбия|Замбия
CGM|CGM|Mambajao|Mambajao|Камигуин|Камигуин|Филиппины|Филиппины
CGN|CGN|Cologne/bonn|Cologne/bonn|Кельн|Кельн|Германия|Германия
CGO|CGO|Zhengzhou|Zhengzhou|Чженчжоу|Чженчжоу|Китай|Китай
CGP|CGP|Patenga|Patenga|||Бангладеш|Бангладеш
CGQ|CGQ|Changchun|Changchun|Чаньчунь|Чаньчунь|Китай|Китай
CGR|CGR|Intl. Airport Campo Grande|Intl. Airport Campo Grande|Кампо Гранде|Кампо Гранде|Бразилия|Бразилия
CGS|CGS|College Park|College Park|Колледж парк|Колледж парк|США|США
CGT|CGT|Chinguitti|Chinguitti|Шингитти|Шингитти|Мавритания|Мавритания
CGU|CGU|Ciudad Guayana|Ciudad Guayana|Сьюдад-Гуаяна|Сьюдад-Гуаяна|Венесуэла|Венесуэла
CGV|CGV|Caiguna|Caiguna|||Австралия|Австралия
CGX|CGX|Merrill C Meigs (closed)|Merrill C Meigs (closed)|Чикаго|Чикаго|США|США
CGY|CGY|Cagayan De Oro Domestic Airport|Cagayan De Oro Domestic Airport|Кагаян Де Оро|Кагаян Де Оро|Филиппины|Филиппины
CGZ|CGZ|Municipal|Municipal|||США|США
CHA|CHA|Lovell Field|Lovell Field|||США|США
CHB|CHB|Chilas|Chilas|Чилас|Чилас|Пакистан|Пакистан
CHC|CHC|Christchurch International|Christchurch International|Кристчерч|Кристчерч|Новая Зеландия|Новая Зеландия
CHD|CHD|Williams Gateway Airport|Williams Gateway Airport|Меса|Меса|США|США
CHE|CHE|Reenroe|Reenroe|||Ирландия|Ирландия
CHF|CHF|Jinhae|Jinhae|||Южная Корея|Южная Корея
CHG|CHG|Chaoyang Airport|Chaoyang Airport|Чаоян|Чаоян|Китай|Китай
CHH|CHH|Chachapoyas|Chachapoyas|Чачапояс|Чачапояс|Перу|Перу
CHI|CHI|Chicago FSS|Chicago FSS|Чикаго|Чикаго|США|США
CHJ|CHJ|Chipinge|Chipinge|||Зимбабве|Зимбабве
CHK|CHK|Municipal|Municipal|||США|США
CHL|CHL|Challis|Challis|||США|США
CHM|CHM|Chimbote|Chimbote|Чимботе|Чимботе|Перу|Перу
CHN|CHN|Jeonju|Jeonju|Джеонжу|Джеонжу|Южная Корея|Южная Корея
CHO|CHO|Albemarle|Albemarle|Шарлоттсвилль|Шарлоттсвилль|США|США
CHP|CHP|Circle Hot Springs|Circle Hot Springs|||США|США
CHQ|CHQ|Souda|Souda|||Греция|Греция
CHR|CHR|Chateauroux|Chateauroux|Шаторуа|Шаторуа|Франция|Франция
CHS|CHS|Charleston,  AFB Municipal|Charleston,  AFB Municipal|||США|США
CHT|CHT|Karewa|Karewa|Чатам-Айленд|Чатам-Айленд|Новая Зеландия|Новая Зеландия
CHU|CHU|Chuathbaluk|Chuathbaluk|||США|США
CHV|CHV|Chaves|Chaves|Чавес|Чавес|Португалия|Португалия
CHW|CHW|Jiuhuang|Jiuhuang|||Китай|Китай
CHX|CHX|Changuinola|Changuinola|Чангвинола|Чангвинола|Панама|Панама
CHY|CHY|Choiseul Bay|Choiseul Bay|Чойсфул-Бей|Чойсфул-Бей|Соломоновы острова|Соломоновы острова
CHZ|CHZ|State|State|||США|США
CIA|CIA|Ciampino|Ciampino|Рим|Рим|Италия|Италия
CIB|CIB|Ap In The Sky|Ap In The Sky|||США|США
CIC|CIC|Chico|Chico|||США|США
CID|CID|Cedar Rapids|Cedar Rapids|||США|США
CIE|CIE|Collie|Collie|||Австралия|Австралия
CIF|CIF|Chifeng|Chifeng|Чифен|Чифен|Китай|Китай
CIG|CIG|Craig-Moffat|Craig-Moffat|||США|США
CIH|CIH|Changzhi|Changzhi|Чанжи|Чанжи|Китай|Китай
CIJ|CIJ|E. Beltram|E. Beltram|Кобиха|Кобиха|Бразилия|Бразилия
CIK|CIK|Chalkyitsik|Chalkyitsik|||США|США
CIL|CIL|Melsing Creek|Melsing Creek|||США|США
CIM|CIM|Cimitarra|Cimitarra|Кимитарра|Кимитарра|Колумбия|Колумбия
CIN|CIN|Carroll|Carroll|||США|США
CIO|CIO|MCAL Lopez|MCAL Lopez|Консепсьон|Консепсьон|Колумбия|Колумбия
CIP|CIP|Chipata|Chipata|Чипата|Чипата|Замбия|Замбия
CIQ|CIQ|Chiquimula|Chiquimula|Чикумула|Чикумула|Гватемала|Гватемала
CIR|CIR|Cairo|Cairo|Каир|Каир|США|США
CIS|CIS|Canton Island|Canton Island|Кентон-Айленд|Кентон-Айленд|Кирибати|Кирибати
CIT|CIT|Shimkent|Shimkent|Шимкент|Шимкент|Казахстан|Казахстан
CIU|CIU|Chippewa County|Chippewa County|Со Сен Мари|Со Сен Мари|США|США
CIV|CIV|Chomley|Chomley|||США|США
CIW|CIW|Canouan Island|Canouan Island|||Сент-Винсент и Гренадины|Сент-Винсент и Гренадины
CIX|CIX|Cornel Ruiz|Cornel Ruiz|Чиклайо|Чиклайо|Перу|Перу
CIY|CIY|Comiso|Comiso|Комизо|Комизо|Италия|Италия
CIZ|CIZ|Coari|Coari|||Бразилия|Бразилия
CJA|CJA|Cajamarca|Cajamarca|Кахамарка|Кахамарка|Перу|Перу
CJB|CJB|Peelamedu|Peelamedu|Коимбаторе|Коимбаторе|Индия|Индия
CJC|CJC|El Loa|El Loa|Калама|Калама|Чили|Чили
CJD|CJD|Candilejas|Candilejas|Кандилежас|Кандилежас|Колумбия|Колумбия
CJH|CJH|Chilko Lake|Chilko Lake|||Великобритания|Великобритания
CJI|CJI|Ciudad Real - Don Quijote Airport|Ciudad Real - Don Quijote Airport|Сиудад Реаль|Сиудад Реаль|Испания|Испания
CJJ|CJJ|Cheongju|Cheongju|||Южная Корея|Южная Корея
CJL|CJL|Chitral|Chitral|Читрал|Читрал|Пакистан|Пакистан
CJM|CJM|Chumphon Airport|Chumphon Airport|Чампхон|Чампхон|Таиланд|Таиланд
CJN|CJN|Gillespie Field|Gillespie Field|||США|США
CJS|CJS|Intl Abraham Gonzalez|Intl Abraham Gonzalez|Сиудад Хуарез|Сиудад Хуарез|Мексика|Мексика
CJT|CJT|Copalar|Copalar|||Мексика|Мексика
CJU|CJU|Jeju Airport|Jeju Airport|||Южная Корея|Южная Корея
CKA|CKA|Kegelman Af|Kegelman Af|Чероки|Чероки|Багамские острова|Багамские острова
CKB|CKB|Benedum|Benedum|||США|США
CKC|CKC|Cherkassy|Cherkassy|Черкассы|Черкассы|Украина|Украина
CKD|CKD|Crooked Creek|Crooked Creek|||США|США
CKE|CKE|Clear Lake|Clear Lake|||США|США
CKG|CKG|Chongqing Jiangbei International|Chongqing Jiangbei International|Чонсинь|Чонсинь|Китай|Китай
CKH|CKH|Chokurdah|Chokurdah|Чокурдах|Чокурдах|Россия|Россия
CKI|CKI|Croker Island|Croker Island|||Австралия|Австралия
CKK|CKK|Cherokee|Cherokee|Чероки|Чероки|США|США
CKL|CKL|Chkalovsky|Chkalovsky|Чкаловский|Чкаловский|Россия|Россия
CKM|CKM|Fletcher Field|Fletcher Field|||США|США
CKN|CKN|Municipal|Municipal|||США|США
CKO|CKO|Cornelio Procopio|Cornelio Procopio|||Бразилия|Бразилия
CKR|CKR|Crane Island|Crane Island|||США|США
CKS|CKS|Carajas|Carajas|||Бразилия|Бразилия
CKT|CKT|Sarakhs|Sarakhs|||Иран|Иран
CKU|CKU|City|City|||США|США
CKV|CKV|Outlaw Field|Outlaw Field|Кларксвилл|Кларксвилл|США|США
CKX|CKX|Chicken|Chicken|||США|США
CKY|CKY|Conakry|Conakry|||Гвинея|Гвинея
CKZ|CKZ|Canakkale|Canakkale|Канаккале|Канаккале|Турция|Турция
CLA|CLA|Comilla|Comilla|Комилла|Комилла|Бангладеш|Бангладеш
CLB|CLB|Castlebar|Castlebar|Кастлбар|Кастлбар|Ирландия|Ирландия
CLC|CLC|Metroport|Metroport|||США|США
CLD|CLD|Mc Clellan-Palomar Airport|Mc Clellan-Palomar Airport|||США|США
CLE|CLE|Hopkins International|Hopkins International|||США|США
CLG|CLG|Coalinga|Coalinga|||США|США
CLH|CLH|Coolah|Coolah|||Австралия|Австралия
CLI|CLI|Clintonville|Clintonville|||США|США
CLJ|CLJ|Cluj Napoca International Airport|Cluj Napoca International Airport|Клуж-Напока|Клуж-Напока|Румыния|Румыния
CLK|CLK|Municipal|Municipal|||США|США
CLL|CLL|Easterwood Field|Easterwood Field|||США|США
CLM|CLM|Fairchild Intl|Fairchild Intl|Порт Анжелес|Порт Анжелес|США|США
CLN|CLN|Carolina|Carolina|||Бразилия|Бразилия
CLO|CLO|Alfonso B. Aragon|Alfonso B. Aragon|Кали|Кали|Колумбия|Колумбия
CLP|CLP|Clarks Point|Clarks Point|||США|США
CLQ|CLQ|Colima|Colima|Колима|Колима|Мексика|Мексика
CLR|CLR|Calipatria|Calipatria|||США|США
CLS|CLS|Centralia|Centralia|||США|США
CLT|CLT|Charlotte Douglas|Charlotte Douglas|Шарлотт|Шарлотт|США|США
CLU|CLU|Columbus Municipal|Columbus Municipal|||США|США
CLV|CLV|Caldas Novas|Caldas Novas|||Бразилия|Бразилия
CLW|CLW|Executive|Executive|Клируотер|Клируотер|Канада|Канада
CLX|CLX|Clorinda|Clorinda|Клоринда|Клоринда|Парагвай|Парагвай
CLY|CLY|Ste Catherine|Ste Catherine|Кальви|Кальви|Франция|Франция
CLZ|CLZ|Calabozo|Calabozo|Калабосо|Калабосо|Венесуэла|Венесуэла
CMA|CMA|Cunnamulla|Cunnamulla|||Австралия|Австралия
CMB|CMB|Bandaranayake|Bandaranayake|Коломбо|Коломбо|Шри-Ланка|Шри-Ланка
CMC|CMC|Camocim|Camocim|||Бразилия|Бразилия
CMD|CMD|Cootamundra|Cootamundra|||Австралия|Австралия
CME|CME|Ciudad Del Carmen|Ciudad Del Carmen|||Мексика|Мексика
CMF|CMF|Chambery|Chambery|Шамбери|Шамбери|Франция|Франция
CMG|CMG|Intl. Airport Corumba|Intl. Airport Corumba|||Бразилия|Бразилия
CMH|CMH|Port Columbus Intl|Port Columbus Intl|||США|США
CMI|CMI|University Of Illinois Willard|University Of Illinois Willard|||США|США
CMJ|CMJ|Chi Mei|Chi Mei|||Тайвань|Тайвань
CMK|CMK|Club Makokola|Club Makokola|||Малави|Малави
CML|CML|Camooweal|Camooweal|||Австралия|Австралия
CMM|CMM|Carmelita|Carmelita|Кармелита|Кармелита|Гватемала|Гватемала
CMN|CMN|Mohamed V|Mohamed V|Касабланка|Касабланка|Марокко|Марокко
CMO|CMO|Obbia|Obbia|Оббиа|Оббиа|Эфиопия|Эфиопия
CMP|CMP|Campo Alegre|Campo Alegre|||Бразилия|Бразилия
CMQ|CMQ|Clermont|Clermont|||Австралия|Австралия
CMR|CMR|Colmar-houssen|Colmar-houssen|Колмар|Колмар|Франция|Франция
CMS|CMS|Scusciuban|Scusciuban|Скускубан|Скускубан|Эфиопия|Эфиопия
CMT|CMT|Cameta|Cameta|Камета|Камета|Бразилия|Бразилия
CMU|CMU|Chimbu|Chimbu|||Папуа - Новая Гвинея|Папуа - Новая Гвинея
CMV|CMV|Coromandel|Coromandel|Коромандель|Коромандель|Новая Зеландия|Новая Зеландия
CMW|CMW|Ign Agramonte Intl|Ign Agramonte Intl|Камагуэй|Камагуэй|Куба|Куба
CMX|CMX|Houghton County|Houghton County|Хэнкок|Хэнкок|США|США
CMY|CMY|Fort Mccoy|Fort Mccoy|Спарта|Спарта|США|США
CMZ|CMZ|Caia|Caia|||Мозамбик|Мозамбик
CNA|CNA|Cananea|Cananea|Кананеа|Кананеа|Мексика|Мексика
CNB|CNB|Coonamble|Coonamble|||Австралия|Австралия
CNC|CNC|Coconut Island|Coconut Island|||Австралия|Австралия
CND|CND|Kogalniceanu|Kogalniceanu|Константа|Константа|Румыния|Румыния
CNE|CNE|Canon City|Canon City|||США|США
CNG|CNG|Parvaud|Parvaud|Коньяк|Коньяк|Франция|Франция
CNH|CNH|Municipal|Municipal|||США|США
CNI|CNI|Changhai|Changhai|||Китай|Китай
CNJ|CNJ|Cloncurry|Cloncurry|||Австралия|Австралия
CNK|CNK|Blosser Municipal|Blosser Municipal|||США|США
CNL|CNL|Sindal|Sindal|Зиндаль|Зиндаль|Дания|Дания
CNM|CNM|Carlsbad|Carlsbad|||США|США
CNN|CNN|Chulman|Chulman|Чульман|Чульман|Россия|Россия
CNO|CNO|Chino|Chino|||США|США
CNP|CNP|Neerlerit Inaat|Neerlerit Inaat|||Гренландия|Гренландия
CNQ|CNQ|Camba Punta|Camba Punta|Корриентес|Корриентес|Аргентина|Аргентина
CNR|CNR|Chanaral|Chanaral|Чаньяраль|Чаньяраль|Чили|Чили
CNS|CNS|Cairns|Cairns|Кернс|Кернс|Австралия|Австралия
CNT|CNT|Charata|Charata|Чарата|Чарата|Аргентина|Аргентина
CNU|CNU|Martin Johnson|Martin Johnson|||США|США
CNV|CNV|Canavieiras|Canavieiras|||Бразилия|Бразилия
CNW|CNW|TSTC Waco Airport|TSTC Waco Airport|||США|США
CNX|CNX|Chiang Mai International|Chiang Mai International|Чанг-Май|Чанг-Май|Таиланд|Таиланд
CNY|CNY|Canyonlands Field|Canyonlands Field|Моаб|Моаб|США|США
CNZ|CNZ|Cangamba|Cangamba|Кангамба|Кангамба|Ангола|Ангола
COA|COA|Columbia|Columbia|Колумбия|Колумбия|США|США
COB|COB|Coolibah|Coolibah|||Австралия|Австралия
COC|COC|Concordia|Concordia|||Аргентина|Аргентина
COD|COD|Yellowstone Regional|Yellowstone Regional|||США|США
COF|COF|Patrick AFB|Patrick AFB|||США|США
COG|COG|Mandinga|Mandinga|Кондото|Кондото|Колумбия|Колумбия
COH|COH|Cooch Behar|Cooch Behar|Куч-Бехар|Куч-Бехар|Индия|Индия
COI|COI|Merritt Island|Merritt Island|||США|США
COJ|COJ|Coonabarabran|Coonabarabran|||Австралия|Австралия
COK|COK|Cochin International|Cochin International|Кочи|Кочи|Индия|Индия
COL|COL|Isle Of Coll|Isle Of Coll|||Великобритания|Великобритания
COM|COM|Coleman|Coleman|||США|США
CON|CON|Concord|Concord|||США|США
COO|COO|Cotonou|Cotonou|||Бенин|Бенин
COP|COP|Cooperstown - Westville Airport|Cooperstown - Westville Airport|||США|США
COQ|COQ|Choibalsan|Choibalsan|||Монголия|Монголия
COR|COR|Pajas Blancas|Pajas Blancas|Кордова|Кордова|Аргентина|Аргентина
COS|COS|Colorado Springs|Colorado Springs|Колорадо Спрингз|Колорадо Спрингз|США|США
COT|COT|Cotulla|Cotulla|||США|США
COU|COU|Columbia Regional|Columbia Regional|Колумбия|Колумбия|США|США
COV|COV|Covilha|Covilha|Ковилья|Ковилья|Португалия|Португалия
COW|COW|Coquimbo|Coquimbo|Кокимбо|Кокимбо|Уругвай|Уругвай
COX|COX|Congo Town|Congo Town|Конго-Таун|Конго-Таун|Багамские острова|Багамские острова
COY|COY|Coolawanyah|Coolawanyah|||Австралия|Австралия
COZ|COZ|Constanza|Constanza|Констанца|Констанца|Доминиканская Республика|Доминиканская Республика
CPA|CPA|A. Tubman|A. Tubman|Кейп-Палмас|Кейп-Палмас|Либерия|Либерия
CPB|CPB|Capurgana|Capurgana|Капургана|Капургана|Колумбия|Колумбия
CPC|CPC|Chapelco|Chapelco|||Аргентина|Аргентина
CPD|CPD|Coober Pedy|Coober Pedy|Кубер Педи|Кубер Педи|Австралия|Австралия
CPE|CPE|Campeche International|Campeche International|Кампеше|Кампеше|Мексика|Мексика
CPF|CPF|Cepu|Cepu|Чепу|Чепу|Индонезия|Индонезия
CPG|CPG|Carmen De Patagones|Carmen De Patagones|||Аргентина|Аргентина
CPH|CPH|Kastrup|Kastrup|Копенгаген|Копенгаген|Дания|Дания
CPI|CPI|Cape Orford|Cape Orford|||Папуа - Новая Гвинея|Папуа - Новая Гвинея
CPL|CPL|Chaparral|Chaparral|Чапаррал|Чапаррал|Колумбия|Колумбия
CPM|CPM|Compton|Compton|||США|США
CPN|CPN|Cape Rodney|Cape Rodney|||Папуа - Новая Гвинея|Папуа - Новая Гвинея
CPO|CPO|Chamonate|Chamonate|Копьяпо|Копьяпо|Чили|Чили
CPQ|CPQ|International|International|Кампинас|Кампинас|Бразилия|Бразилия
CPR|CPR|Casper|Casper|||США|США
CPS|CPS|St. Louis Downtown Airport|St. Louis Downtown Airport|||США|США
CPT|CPT|Cape Town International|Cape Town International|Кейптаун|Кейптаун|ЮАР|ЮАР
CPU|CPU|Cururupu|Cururupu|||Бразилия|Бразилия
CPV|CPV|Joao Suassuna|Joao Suassuna|||Бразилия|Бразилия
CPX|CPX|Culebra|Culebra|||Пуэрто Рико|Пуэрто Рико
CQA|CQA|Canarana Airport|Canarana Airport|||Бразилия|Бразилия
CQD|CQD|Shahre-kord|Shahre-kord|||Иран|Иран
CQF|CQF|Calais|Calais|Кале|Кале|Франция|Франция
CQP|CQP|Cape Flattery|Cape Flattery|Кейп-Флеттери|Кейп-Флеттери|Австралия|Австралия
CQS|CQS|Costa Marques|Costa Marques|||Бразилия|Бразилия
CQT|CQT|Caquetania|Caquetania|Какуэтаниа|Какуэтаниа|Колумбия|Колумбия
CRA|CRA|Craiova|Craiova|Крайова|Крайова|Румыния|Румыния
CRB|CRB|Collarenebri|Collarenebri|||Австралия|Австралия
CRC|CRC|Cartago|Cartago|Картаго|Картаго|Колумбия|Колумбия
CRD|CRD|Comodoro Rivadavia|Comodoro Rivadavia|||Аргентина|Аргентина
CRE|CRE|Grand Strand Airport|Grand Strand Airport|Миртл Бич|Миртл Бич|США|США
CRF|CRF|Carnot|Carnot|Карнот|Карнот|Центральноафриканская Республика|Центральноафриканская Республика
CRG|CRG|Craig Municipal|Craig Municipal|||США|США
CRH|CRH|Cherribah|Cherribah|||Австралия|Австралия
CRI|CRI|Crooked Island|Crooked Island|||Теркс и Кайкос|Теркс и Кайкос
CRJ|CRJ|Coorabie|Coorabie|Курабье|Курабье|Австралия|Австралия
CRK|CRK|Diosdado Macapagal International (Clark Int)|Diosdado Macapagal International (Clark Int)|||Филиппины|Филиппины
