0|iata_code|1|name_eng|2|city_rus|3|country_rus
ADI|ADI|Arandis|Arandis|||Намибия|Намибия
ADJ|ADJ|Marka International Airport|Marka International Airport|Амман|Амман|Иордания|Иордания
ADK|ADK|Adak Island NS|Adak Island NS|||США|США
ADL|ADL|Adelaide International Airport|Adelaide International Airport|Аделаида|Аделаида|Австралия|Австралия
ADM|ADM|Ardmore Municipal Arpt|Ardmore Municipal Arpt|Ардмор|Ардмор|США|США
ADN|ADN|Andes|Andes|Андес|Андес|Колумбия|Колумбия
ADO|ADO|Andamooka|Andamooka|||Австралия|Австралия
ADP|ADP|Ampara|Ampara|||Шри-Ланка|Шри-Ланка
ADQ|ADQ|Kodiak Airport|Kodiak Airport|||США|США
ADR|ADR|Andrews|Andrews|||США|США
ADS|ADS|Addison Airport|Addison Airport|Даллас|Даллас|США|США
ADT|ADT|Ada|Ada|Ада|Ада|США|США
ADU|ADU|Ardabil|Ardabil|||Иран|Иран
ADV|ADV|Andover|Andover|Эндовер|Эндовер|Великобритания|Великобритания
ADW|ADW|Andrews AFB|Andrews AFB|||США|США
ADX|ADX|Leuchars|Leuchars|||Великобритания|Великобритания
ADY|ADY|Alldays|Alldays|Оллдейз|Оллдейз|ЮАР|ЮАР
ADZ|ADZ|San Andres Island|San Andres Island|Остров Сан Андрес|Остров Сан Андрес|Колумбия|Колумбия
AEA|AEA|Abemama Atoll|Abemama Atoll|Абемама-Атолл|Абемама-Атолл|Кирибати|Кирибати
AED|AED|Aleneva|Aleneva|||США|США
AEG|AEG|Aek Godang|Aek Godang|Эк-Годан|Эк-Годан|Индонезия|Индонезия
AEH|AEH|Abecher|Abecher|||Чад|Чад
AEI|AEI|Algeciras|Algeciras|Альгесирас|Альгесирас|Испания|Испания
AEK|AEK|Aseki|Aseki|Асеки|Асеки|Папуа - Новая Гвинея|Папуа - Новая Гвинея
AEL|AEL|Albert Lea|Albert Lea|Альберт Ли|Альберт Ли|США|США
AEO|AEO|Aioun El Atrouss|Aioun El Atrouss|||Мавритания|Мавритания
AEP|AEP|Arpt. Jorge Newbery|Arpt. Jorge Newbery|Буэнос-Айрес|Буэнос-Айрес|Аргентина|Аргентина
AER|AER|Adler - Sochi|Adler - Sochi|Адлер|Адлер|Россия|Россия
AES|AES|Vigra|Vigra|||Норвегия|Норвегия
AET|AET|Allakaket|Allakaket|||США|США
AEU|AEU|Abu Musa|Abu Musa|||Иран|Иран
AEX|AEX|Alexandria International|Alexandria International|||США|США
AEY|AEY|Akureyri|Akureyri|Акурейри|Акурейри|Исландия|Исландия
AFA|AFA|San Rafael|San Rafael|Сан-Рафаэль|Сан-Рафаэль|Аргентина|Аргентина
AFD|AFD|Port Alfred|Port Alfred|Порт Альфред|Порт Альфред|ЮАР|ЮАР
AFF|AFF|USAF Academy Airstrip|USAF Academy Airstrip|Колорадо Спрингз|Колорадо Спрингз|США|США
AFI|AFI|Amalfi|Amalfi|Амалфи|Амалфи|Колумбия|Колумбия
AFK|AFK|Kondavattavan Tank|Kondavattavan Tank|||Шри-Ланка|Шри-Ланка
AFL|AFL|Alta Floresta|Alta Floresta|Алта-Флореста|Алта-Флореста|Бразилия|Бразилия
AFN|AFN|Municipal|Municipal|||США|США
AFO|AFO|Municipal|Municipal|Афтон|Афтон|США|США
AFR|AFR|Afore|Afore|Афоре|Афоре|Папуа - Новая Гвинея|Папуа - Новая Гвинея
AFS|AFS|Zarafshan|Zarafshan|Зарафшан|Зарафшан|Узбекистан|Узбекистан
AFT|AFT|Afutara Aerodrome|Afutara Aerodrome|Афутара|Афутара|Соломоновы острова|Соломоновы острова
AFW|AFW|Fort Worth Alliance|Fort Worth Alliance|||США|США
AFY|AFY|Afyon|Afyon|Афион|Афион|Турция|Турция
AFZ|AFZ|Sabzevar|Sabzevar|||Иран|Иран
AGA|AGA|Agadir Almassira|Agadir Almassira|Агадир|Агадир|Марокко|Марокко
AGB|AGB|Augsburg - Muehlhausen|Augsburg - Muehlhausen|Мюнхен|Мюнхен|Германия|Германия
AGC|AGC|Allegheny County|Allegheny County|Питтсборо|Питтсборо|США|США
AGD|AGD|Anggi|Anggi|Ангги|Ангги|Индонезия|Индонезия
AGE|AGE|Flugplatz|Flugplatz|Вангерооге|Вангерооге|Германия|Германия
AGF|AGF|La Garenne|La Garenne|Аген|Аген|Франция|Франция
AGG|AGG|Angoram|Angoram|Ангорам|Ангорам|Папуа - Новая Гвинея|Папуа - Новая Гвинея
AGH|AGH|Angelholm|Angelholm|||Швеция|Швеция
AGI|AGI|Wageningen|Wageningen|Вагенинген|Вагенинген|Суринам|Суринам
AGJ|AGJ|Aguni|Aguni|Агуни|Агуни|Япония|Япония
AGK|AGK|Kagua|Kagua|Кагуа|Кагуа|Папуа - Новая Гвинея|Папуа - Новая Гвинея
AGL|AGL|Wanigela|Wanigela|Ванигела|Ванигела|Папуа - Новая Гвинея|Папуа - Новая Гвинея
